Date,Name,Amount,Analysis_Status,Exclusion_Reason,Category,Source,Type,Status,Date_parsed,Month,MonthName,MonthNum
12/27/2025,PayPal,-20.8,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-27,2025-12,December,12
12/27/2025,T & T Organic Market I,-20.8,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-27,2025-12,December,12
12/27/2025,APPLE.COM/BILL,-16.31,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-27,2025-12,December,12
12/27/2025,PayPal,-16.31,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-27,2025-12,December,12
12/27/2025,,1.93,Excluded,Non-Finalized (Status: Denied),Excluded,Personal,General Card Deposit,Denied,2025-12-27,2025-12,December,12
12/27/2025,,2.17,Excluded,Non-Finalized (Status: Denied),Excluded,Personal,General Card Deposit,Denied,2025-12-27,2025-12,December,12
12/27/2025,,12.75,Excluded,Non-Finalized (Status: Denied),Excluded,Personal,General Card Deposit,Denied,2025-12-27,2025-12,December,12
12/27/2025,,12.99,Excluded,Non-Finalized (Status: Denied),Excluded,Personal,General Card Deposit,Denied,2025-12-27,2025-12,December,12
12/27/2025,PayPal,16.31,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-27,2025-12,December,12
12/27/2025,PayPal,166.96,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-27,2025-12,December,12
12/27/2025,PayPal Inc.,0.0,Included (True Spend),,Financial Services,Personal,Other,Completed,2025-12-27,2025-12,December,12
12/26/2025,1037 NOSTRAND DELI LLC,-2.08,Included (True Spend),,Grocery/Daily,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-26,2025-12,December,12
12/26/2025,WONDER,-9.37,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-26,2025-12,December,12
12/26/2025,CURB MOBILITY,-28.44,Included (True Spend),,Transportation,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-26,2025-12,December,12
12/26/2025,1037 NOSTRAND DELI LLC,-2.6,Included (True Spend),,Grocery/Daily,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-26,2025-12,December,12
12/26/2025,WONDER,-9.37,Included (True Spend),,Dining/Restaurants,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-26,2025-12,December,12
12/26/2025,HERCULES CORP KIOSK,-10.0,Included (True Spend),,Services/Laundry,Personal,General PayPal Debit Card Transaction,Completed,2025-12-26,2025-12,December,12
12/26/2025,PayPal,-9.37,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-26,2025-12,December,12
12/26/2025,Apple Services,-9.99,Included (True Spend),,Tech & Subs,Personal,PreApproved Payment Bill User Payment,Completed,2025-12-26,2025-12,December,12
12/26/2025,HERCULES CORP KIOSK,-10.0,Included (True Spend),,Services/Laundry,Personal,General Authorization,Completed,2025-12-26,2025-12,December,12
12/26/2025,CURB MOBILITY,-28.44,Included (True Spend),,Transportation,Business/Main,General Authorization,Completed,2025-12-26,2025-12,December,12
12/26/2025,1037 NOSTRAND DELI LLC,-2.6,Included (True Spend),,Grocery/Daily,Business/Main,General Authorization,Completed,2025-12-26,2025-12,December,12
12/26/2025,,1.93,Excluded,Non-Finalized (Status: Denied),Excluded,Personal,General Card Deposit,Denied,2025-12-26,2025-12,December,12
12/26/2025,1037 NOSTRAND DELI LLC,-2.08,Included (True Spend),,Grocery/Daily,Business/Main,General Authorization,Completed,2025-12-26,2025-12,December,12
12/26/2025,PayPal Inc.,0.0,Included (True Spend),,Financial Services,Business/Main,Other,Completed,2025-12-26,2025-12,December,12
12/26/2025,PayPal,2.08,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-26,2025-12,December,12
12/26/2025,,2.17,Excluded,Non-Finalized (Status: Denied),Excluded,Personal,General Card Deposit,Denied,2025-12-26,2025-12,December,12
12/26/2025,PayPal,2.6,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-26,2025-12,December,12
12/26/2025,PayPal,9.37,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-26,2025-12,December,12
12/26/2025,PayPal,10.0,Excluded,Money In / Refund,Excluded,Personal,Reversal of General Account Hold,Completed,2025-12-26,2025-12,December,12
12/26/2025,,12.75,Excluded,Non-Finalized (Status: Denied),Excluded,Personal,General Card Deposit,Denied,2025-12-26,2025-12,December,12
12/26/2025,,12.99,Excluded,Non-Finalized (Status: Denied),Excluded,Personal,General Card Deposit,Denied,2025-12-26,2025-12,December,12
12/26/2025,PayPal,28.44,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-26,2025-12,December,12
12/25/2025,PayPal,-17.3,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-25,2025-12,December,12
12/25/2025,Uber Eats,-17.3,Included (True Spend),,Transportation,Business/Main,PreApproved Payment Bill User Payment,Completed,2025-12-25,2025-12,December,12
12/25/2025,Aizihaer Tuerxuntuoheti,-15.0,Excluded,Transfer / Noise,Excluded,Business/Main,Mobile Payment,Completed,2025-12-25,2025-12,December,12
12/25/2025,HERCULES CORP KIOSK,-10.0,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,General Authorization,Pending,2025-12-25,2025-12,December,12
12/25/2025,PayPal,-10.0,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,Account Hold for Open Authorization,Pending,2025-12-25,2025-12,December,12
12/25/2025,1037 NOSTRAND DELI LLC,-2.08,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-25,2025-12,December,12
12/25/2025,PayPal,-2.08,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-25,2025-12,December,12
12/25/2025,,2.76,Excluded,Non-Finalized (Status: Denied),Excluded,Personal,General Card Deposit,Denied,2025-12-25,2025-12,December,12
12/25/2025,,12.99,Excluded,Non-Finalized (Status: Denied),Excluded,Personal,General Card Deposit,Denied,2025-12-25,2025-12,December,12
12/25/2025,REB NYC,15.0,Excluded,Money In / Refund,Excluded,Personal,Mobile Payment,Completed,2025-12-25,2025-12,December,12
12/25/2025,PayPal,17.3,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-25,2025-12,December,12
12/24/2025,PayPal,-2.6,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-24,2025-12,December,12
12/24/2025,CURB MOBILITY,-28.44,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-24,2025-12,December,12
12/24/2025,PayPal,-28.44,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-24,2025-12,December,12
12/24/2025,PayPal,-28.2,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-24,2025-12,December,12
12/24/2025,WONDER,-28.2,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-24,2025-12,December,12
12/24/2025,PayPal,-27.11,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-24,2025-12,December,12
12/24/2025,WONDER,-27.11,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-24,2025-12,December,12
12/24/2025,WONDER,-27.11,Included (True Spend),,Dining/Restaurants,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-24,2025-12,December,12
12/24/2025,"Uber Technologies, Inc",-26.44,Included (True Spend),,Transportation,Business/Main,PreApproved Payment Bill User Payment,Completed,2025-12-24,2025-12,December,12
12/24/2025,"Uber Technologies, Inc",-23.94,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-24,2025-12,December,12
12/24/2025,1037 NOSTRAND DELI LLC,-2.6,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-24,2025-12,December,12
12/24/2025,PayPal,-23.94,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-24,2025-12,December,12
12/24/2025,PayPal,-2.12,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-24,2025-12,December,12
12/24/2025,,12.99,Excluded,Non-Finalized (Status: Denied),Excluded,Personal,General Card Deposit,Denied,2025-12-24,2025-12,December,12
12/24/2025,PayPal,28.2,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-24,2025-12,December,12
12/24/2025,PayPal,27.11,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-24,2025-12,December,12
12/24/2025,PayPal,23.94,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-24,2025-12,December,12
12/24/2025,MARBLE,49.0,Excluded,Money In / Refund,Excluded,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-24,2025-12,December,12
12/24/2025,,7.76,Excluded,Non-Finalized (Status: Denied),Excluded,Personal,General Card Deposit,Denied,2025-12-24,2025-12,December,12
12/24/2025,PayPal,2.12,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-24,2025-12,December,12
12/24/2025,WONDER,-2.12,Included (True Spend),,Dining/Restaurants,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-24,2025-12,December,12
12/24/2025,WONDER,-2.12,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,ReAuthorization,Pending,2025-12-24,2025-12,December,12
12/23/2025,PayPal,-8.86,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-23,2025-12,December,12
12/23/2025,PayPal,-70.59,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-23,2025-12,December,12
12/23/2025,TARGET.COM,-70.59,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-23,2025-12,December,12
12/23/2025,TARGET.COM,-61.73,Included (True Spend),,Grocery/Daily,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-23,2025-12,December,12
12/23/2025,SPK*SPOKEO SEARCH,-29.95,Included (True Spend),,Tech & Subs,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-23,2025-12,December,12
12/23/2025,SPK*SPOKEO SEARCH,-29.95,Included (True Spend),,Tech & Subs,Business/Main,General Authorization,Completed,2025-12-23,2025-12,December,12
12/23/2025,T & T Organic Market I,-18.72,Included (True Spend),,Grocery/Daily,Personal,General PayPal Debit Card Transaction,Completed,2025-12-23,2025-12,December,12
12/23/2025,T & T Organic Market I,-18.72,Included (True Spend),,Grocery/Daily,Personal,General Authorization,Completed,2025-12-23,2025-12,December,12
12/23/2025,WONDER,-12.9,Included (True Spend),,Dining/Restaurants,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-23,2025-12,December,12
12/23/2025,WONDER,-12.9,Included (True Spend),,Dining/Restaurants,Business/Main,General Authorization,Completed,2025-12-23,2025-12,December,12
12/23/2025,,7.76,Excluded,Non-Finalized (Status: Denied),Excluded,Personal,General Card Deposit,Denied,2025-12-23,2025-12,December,12
12/23/2025,PayPal,70.59,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-23,2025-12,December,12
12/23/2025,PayPal,12.9,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-23,2025-12,December,12
12/23/2025,,12.99,Excluded,Non-Finalized (Status: Denied),Excluded,Personal,General Card Deposit,Denied,2025-12-23,2025-12,December,12
12/23/2025,,16.31,Excluded,Non-Finalized (Status: Denied),Excluded,Personal,General Card Deposit,Denied,2025-12-23,2025-12,December,12
12/23/2025,PayPal,18.72,Excluded,Money In / Refund,Excluded,Personal,Reversal of General Account Hold,Completed,2025-12-23,2025-12,December,12
12/23/2025,PayPal,29.95,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-23,2025-12,December,12
12/23/2025,MARBLE,49.0,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General PayPal Debit Card Transaction,Pending,2025-12-23,2025-12,December,12
12/23/2025,,11.08,Excluded,Non-Finalized (Status: Denied),Excluded,Personal,General Card Deposit,Denied,2025-12-23,2025-12,December,12
12/22/2025,1037 NOSTRAND DELI LLC,-18.72,Included (True Spend),,Grocery/Daily,Personal,General Authorization,Completed,2025-12-22,2025-12,December,12
12/22/2025,PayPal,-16.61,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-22,2025-12,December,12
12/22/2025,T & T Organic Market I,-18.72,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,General Authorization,Pending,2025-12-22,2025-12,December,12
12/22/2025,PayPal,-18.72,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,Account Hold for Open Authorization,Pending,2025-12-22,2025-12,December,12
12/22/2025,PayPal,-12.9,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-22,2025-12,December,12
12/22/2025,1037 NOSTRAND DELI LLC,-18.72,Included (True Spend),,Grocery/Daily,Personal,General PayPal Debit Card Transaction,Completed,2025-12-22,2025-12,December,12
12/22/2025,SPK*SPOKEO SEARCH,-29.95,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-22,2025-12,December,12
12/22/2025,PayPal,-29.95,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-22,2025-12,December,12
12/22/2025,Uber Eats,-16.61,Included (True Spend),,Transportation,Business/Main,PreApproved Payment Bill User Payment,Completed,2025-12-22,2025-12,December,12
12/22/2025,WONDER,-12.9,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-22,2025-12,December,12
12/22/2025,TARGET.COM,-11.97,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-22,2025-12,December,12
12/22/2025,TARGET.COM,-11.97,Included (True Spend),,Grocery/Daily,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-22,2025-12,December,12
12/22/2025,PayPal Inc.,0.0,Included (True Spend),,Financial Services,Business/Main,Other,Completed,2025-12-22,2025-12,December,12
12/22/2025,PayPal,11.97,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-22,2025-12,December,12
12/22/2025,PayPal,16.61,Excluded,Money In / Refund,Excluded,Business/Main,Reversal of General Account Hold,Completed,2025-12-22,2025-12,December,12
12/22/2025,PayPal,18.72,Excluded,Money In / Refund,Excluded,Personal,Reversal of General Account Hold,Completed,2025-12-22,2025-12,December,12
12/22/2025,PayPal,-11.97,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-22,2025-12,December,12
12/21/2025,1037 NOSTRAND DELI LLC,-18.72,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,General Authorization,Pending,2025-12-21,2025-12,December,12
12/21/2025,PayPal Inc.,-8.22,Included (True Spend),,Financial Services,Business/Main,Other,Completed,2025-12-21,2025-12,December,12
12/21/2025,TARGET.COM,-44.11,Excluded,Non-Finalized (Status: Reversed),Excluded,Business/Main,Void of Authorization,Reversed,2025-12-21,2025-12,December,12
12/21/2025,PayPal,-38.43,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,Account Hold for Open Authorization,Pending,2025-12-21,2025-12,December,12
12/21/2025,WONDER,-38.43,Excluded,Non-Finalized (Status: Pending),Excluded,Business/Main,General Authorization,Pending,2025-12-21,2025-12,December,12
12/21/2025,WONDER,-38.43,Included (True Spend),,Dining/Restaurants,Business/Main,General PayPal Debit Card Transaction,Completed,2025-12-21,2025-12,December,12
12/21/2025,"DoorDash, Inc.",-26.34,Included (True Spend),,Delivery,Business/Main,PreApproved Payment Bill User Payment,Completed,2025-12-21,2025-12,December,12
12/21/2025,PayPal,-18.72,Excluded,Non-Finalized (Status: Pending),Excluded,Personal,Account Hold for Open Authorization,Pending,2025-12-21,2025-12,December,12
12/21/2025,APPLE.COM/BILL,-7.61,Included (True Spend),,Tech & Subs,Personal,General PayPal Debit Card Transaction,Completed,2025-12-21,2025-12,December,12
