"Date","Transaction ID","Transaction Type","Currency","Amount","Fee","Net Amount","Asset Type","Asset Price","Asset Amount","Status","Notes","Name of sender/receiver","Account"
"2025-03-01 17:40:31 EST","","Cash Card","USD","-$16.46","$0.00","-$16.46","","","","COMPLETE","UBER   *TRIP","","Cash Balance"
"2025-03-01 17:31:48 EST","","Cash Card","USD","-$2.90","$0.00","-$2.90","","","","FAILED","OMNYPYG*","","Cash Balance"
"2025-03-01 17:31:44 EST","","Cash Card","USD","-$2.90","$0.00","-$2.90","","","","COMPLETE","MTA*NYCT PAYGO RECOVER","","Cash Balance"
"2025-03-01 16:58:56 EST","","Cash Card","USD","-$5.31","$0.00","-$5.31","","","","COMPLETE","MCDONALD'S F18884","","Cash Balance"
"2025-03-01 16:17:08 EST","","Cash Card","USD","-$10.74","$0.00","-$10.74","","","","COMPLETE","W 51 GOURMET DELI AND GR","","Cash Balance"
"2025-03-01 13:12:53 EST","","Cash Card","USD","-$36.21","$0.00","-$36.21","","","","COMPLETE","UBER   *TRIP","","Cash Balance"
"2025-03-01 10:17:31 EST","krzfhmena","P2P","USD","-$5.44","$0.00","-$5.44","","","","COMPLETE","Tortoise Cash Card","Cash Card","Cash Balance"
"2025-03-01 10:16:33 EST","","Cash Card","USD","$99.15","$0.00","$99.15","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-02-27 16:08:19 EST","","Deposits","USD","$10.00","$0.00","$10.00","","","","FAILED","Add Cash","","Visa Debit 2039"
"2025-02-26 05:35:23 EST","","Cash Card","USD","-$22.00","$0.00","-$22.00","","","","COMPLETE","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-02-26 03:09:46 EST","","Cash Card","USD","-$100.00","$0.00","-$100.00","","","","COMPLETE","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-02-26 03:09:34 EST","","Cash Card","USD","-$200.00","$0.00","-$200.00","","","","COMPLETE","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-02-26 03:08:41 EST","","Cash Card","USD","$213.54","$0.00","$213.54","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-02-26 02:48:14 EST","","Cash Card","USD","-$30.00","$0.00","-$30.00","","","","COMPLETE","UBER   *TRIP","","Cash Balance"
"2025-02-26 02:37:18 EST","","Cash Card","USD","-$31.27","$0.00","-$31.27","","","","FAILED","UBR* PENDING.UBER.COM","","Cash Balance"
"2025-02-25 23:02:14 EST","","Cash Card","USD","-$39.83","$0.00","-$39.83","","","","COMPLETE","UBER   *TRIP","","Cash Balance"
"2025-02-25 23:01:21 EST","","Cash Card","USD","-$39.85","$0.00","-$39.85","","","","FAILED","UBR* PENDING.UBER.COM","","Cash Balance"
"2025-02-25 22:32:58 EST","","Cash Card","USD","-$5.55","$0.00","-$5.55","","","","COMPLETE","VITOS SLICES AND IC","","Cash Balance"
"2025-02-25 22:32:28 EST","","Cash Card","USD","-$12.64","$0.00","-$12.64","","","","FAILED","VITOS SLICES AND IC","","Cash Balance"
"2025-02-25 22:31:08 EST","","Cash Card","USD","-$6.19","$0.00","-$6.19","","","","COMPLETE","SUNSET GOURMET DELI","","Cash Balance"
"2025-02-25 19:51:37 EST","","Cash Card","USD","-$175.62","$0.00","-$175.62","","","","FAILED","FAIRFIELD INN & STES MANH","","Cash Balance"
"2025-02-25 19:49:07 EST","","Cash Card","USD","-$175.62","$0.00","-$175.62","","","","FAILED","FAIRFIELD INN & STES MANH","","Cash Balance"
"2025-02-25 19:01:21 EST","","Cash Card","USD","-$32.09","$0.00","-$32.09","","","","COMPLETE","UBR* PENDING.UBER.COM","","Cash Balance"
"2025-02-25 19:00:21 EST","","Cash Card","USD","-$32.08","$0.00","-$32.08","","","","FAILED","UBR* PENDING.UBER.COM","","Cash Balance"
"2025-02-25 17:27:51 EST","","Cash Card","USD","-$6.37","$0.00","-$6.37","","","","FAILED","CHICK-FIL-A #04221","","Cash Balance"
"2025-02-25 17:22:04 EST","","Cash Card","USD","-$399.91","$0.00","-$399.91","","","","FAILED","FAIRFIELD INN & STES MANH","","Cash Balance"
"2025-02-25 16:06:51 EST","","Cash Card","USD","-$5.55","$0.00","-$5.55","","","","COMPLETE","JOE  THE JUICE NEW YORK","","Cash Balance"
"2025-02-25 16:06:08 EST","","Cash Card","USD","-$33.04","$0.00","-$33.04","","","","COMPLETE","UBR* PENDING.UBER.COM","","Cash Balance"
"2025-02-25 15:03:21 EST","","Cash Card","USD","$295.50","$0.00","$295.50","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-02-25 13:39:29 EST","","Cash Card","USD","-$2.08","$0.00","-$2.08","","","","COMPLETE","SMOKE ZONE","","Cash Balance"
"2025-02-25 13:01:51 EST","","Cash Card","USD","-$9.68","$0.00","-$9.68","","","","COMPLETE","USPS KIOSK 3596079551","","Cash Balance"
"2025-02-25 10:15:37 EST","","Deposits","USD","$50.00","$0.00","$50.00","","","","FAILED","Add Cash","","Visa Debit 2039"
"2025-02-25 03:40:37 EST","","Cash Card","USD","-$26.00","$0.00","-$26.00","","","","COMPLETE","DD *DOORDASH MAMAHALAL","","Cash Balance"
"2025-02-25 03:12:18 EST","","Deposits","USD","$10.00","$0.00","$10.00","","","","FAILED","Add Cash","","Visa Debit 2039"
"2025-02-25 03:12:17 EST","","Deposits","USD","$10.00","$0.00","$10.00","","","","FAILED","Add Cash","","Visa Debit 2039"
"2025-02-25 03:05:16 EST","","Cash App Pay Payment","USD","-$31.91","","-$31.91","","","","COMPLETE","$31.91 Payment At Gopuff","","Cash Balance"
"2025-02-24 19:28:35 EST","","Cash Card","USD","-$192.57","$0.00","-$192.57","","","","COMPLETE","FAIRFIELD INN & STES MANH","","Cash Balance"
"2025-02-24 19:27:49 EST","","Cash Card","USD","$265.95","$0.00","$265.95","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-02-23 22:58:30 EST","","Cash Card","USD","-$1.56","$0.00","-$1.56","","","","FAILED","95 St Mini Mart Corp","","Cash Balance"
"2025-02-23 20:20:32 EST","","Cash Card","USD","-$24.37","$0.00","-$24.37","","","","COMPLETE","DD *DOORDASH PANDAEXPR","","Cash Balance"
"2025-02-23 17:15:30 EST","","Cash Card","USD","-$8.69","$0.00","-$8.69","","","","COMPLETE","STAPLES 1574","","Cash Balance"
"2025-02-23 13:49:41 EST","","Cash Card","USD","-$202.48","$0.00","-$202.48","","","","COMPLETE","FAIRFIELD INN & STES MANH","","Cash Balance"
"2025-02-23 13:45:28 EST","","Cash Card","USD","$178.22","$0.00","$178.22","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-02-23 13:44:39 EST","","Cash Card","USD","-$180.00","$0.00","-$180.00","","","","FAILED","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-02-23 13:07:54 EST","","Cash Card","USD","-$14.65","$0.00","-$14.65","","","","COMPLETE","SUNSET GOURMET DELI","","Cash Balance"
"2025-02-23 13:07:30 EST","","Cash Card","USD","-$14.65","$0.00","-$14.65","","","","FAILED","SUNSET GOURMET DELI","","Cash Balance"
"2025-02-23 02:38:23 EST","","Cash Card","USD","-$248.58","$0.00","-$248.58","","","","WAITING_ON_RECIPIENT","FAIRFIELD INN & STES MANH","","Cash Balance"
"2025-02-23 02:22:57 EST","","Cash Card","USD","$120.17","$0.00","$120.17","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-02-23 02:20:58 EST","","Cash Card","USD","$165.48","$0.00","$165.48","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-02-23 01:55:43 EST","","Cash Card","USD","-$200.00","$0.00","-$200.00","","","","FAILED","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-02-23 01:52:02 EST","","Deposits","USD","$100.00","$0.00","$100.00","","","","FAILED","Add Cash","","Visa Debit 2039"
"2025-02-21 19:29:57 EST","","Cash Card","USD","-$215.29","$0.00","-$215.29","","","","COMPLETE","FAIRFIELD INN & STES MANH","","Cash Balance"
"2025-02-21 19:29:47 EST","","Cash Card","USD","$216.70","$0.00","$216.70","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-02-21 19:10:42 EST","","Cash Card","USD","-$97.00","$0.00","-$97.00","","","","COMPLETE","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-02-21 19:10:02 EST","","Cash Card","USD","-$100.00","$0.00","-$100.00","","","","FAILED","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-02-21 19:09:23 EST","","Cash Card","USD","-$80.00","$0.00","-$80.00","","","","COMPLETE","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-02-21 19:09:02 EST","","Cash Card","USD","$177.30","$0.00","$177.30","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-02-20 23:10:51 EST","","Cash Card","USD","-$280.00","$0.00","-$280.00","","","","COMPLETE","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-02-20 23:07:55 EST","","Cash Card","USD","$256.96","$0.00","$256.96","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-02-20 20:48:29 EST","","Cash Card","USD","-$40.00","$0.00","-$40.00","","","","COMPLETE","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-02-20 20:48:08 EST","","Cash Card","USD","-$22.50","-$3.50","-$26.00","","","","COMPLETE","PAI ISO","","Cash Balance"
"2025-02-20 20:47:24 EST","","Cash Card","USD","$90.62","$0.00","$90.62","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-02-20 00:29:28 EST","","Cash Card","USD","-$30.49","$0.00","-$30.49","","","","COMPLETE","SMILEYS","","Cash Balance"
"2025-02-20 00:28:58 EST","","Cash Card","USD","$23.64","$0.00","$23.64","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-02-19 14:30:17 EST","","Cash Card","USD","$19.70","$0.00","$19.70","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-02-19 14:24:07 EST","","Cash Card","USD","-$1.00","$0.00","-$1.00","","","","FAILED","AC HOTELS BY MARRIOTT NYC","","Cash Balance"
"2025-02-19 14:22:23 EST","","Cash Card","USD","-$1.00","$0.00","-$1.00","","","","FAILED","AC HOTELS BY MARRIOTT NYC","","Cash Balance"
"2025-02-19 14:20:46 EST","","Cash Card","USD","$31.52","$0.00","$31.52","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-02-19 14:18:54 EST","","Cash Card","USD","$9.75","$0.00","$9.75","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-02-19 14:17:01 EST","","Cash Card","USD","$59.10","$0.00","$59.10","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-02-19 14:16:22 EST","","Cash Card","USD","-$20.00","$0.00","-$20.00","","","","COMPLETE","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-02-19 14:16:01 EST","","Cash Card","USD","-$20.00","$0.00","-$20.00","","","","COMPLETE","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-02-19 14:11:05 EST","","Cash Card","USD","$19.70","$0.00","$19.70","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-02-19 14:10:40 EST","","Cash Card","USD","-$20.00","$0.00","-$20.00","","","","COMPLETE","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-02-19 14:10:15 EST","","Cash Card","USD","$177.30","$0.00","$177.30","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-02-19 13:33:28 EST","","Cash Card","USD","-$62.50","-$3.00","-$65.50","","","","COMPLETE","111 CENTRE ST","","Cash Balance"
"2025-02-19 13:30:58 EST","","Cash Card","USD","-$60.00","$0.00","-$60.00","","","","FAILED","111 CENTRE ST","","Cash Balance"
"2025-02-19 13:29:55 EST","","Cash Card","USD","$29.55","$0.00","$29.55","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-02-19 12:45:32 EST","","Cash Card","USD","-$2.75","$0.00","-$2.75","","","","COMPLETE","Rays Candy Stand","","Cash Balance"
"2025-02-19 11:37:16 EST","","Cash Card","USD","-$2.75","$0.00","-$2.75","","","","COMPLETE","Rays Candy Stand","","Cash Balance"
"2025-02-19 11:36:55 EST","","Cash Card","USD","-$5.00","$0.00","-$5.00","","","","FAILED","Rays Candy Stand","","Cash Balance"
"2025-02-19 00:10:09 EST","","Cash Card","USD","-$471.85","$0.00","-$471.85","","","","WAITING_ON_RECIPIENT","AC HOTELS BY MARRIOTT NYC","","Cash Balance"
"2025-02-19 00:09:45 EST","","Cash Card","USD","$263.00","$0.00","$263.00","","","","COMPLETE","APPLE CASH INST XFER","","Cash Balance"
"2025-02-18 23:06:03 EST","","Cash Card","USD","-$3.27","$0.00","-$3.27","","","","FAILED","YIA YIAS- HOMEMADE","","Cash Balance"
"2025-02-17 16:48:57 EST","","Deposits","USD","$17.00","$0.00","$17.00","","","","FAILED","Add Cash","","Visa Debit 2039"
"2025-02-17 16:44:03 EST","","Withdrawal","USD","-$17.65","$0.00","-$17.65","","","","COMPLETE","Cash Out","","Visa Debit 2039"
"2025-02-17 10:55:54 EST","","Cash Card","USD","-$7.00","$0.00","-$7.00","","","","COMPLETE","Queens Center Garage","","Cash Balance"
"2025-02-17 01:21:22 EST","","Cash Card","USD","-$7.60","$0.00","-$7.60","","","","COMPLETE","MCDONALD'S F14780","","Cash Balance"
"2025-02-16 21:12:25 EST","","Cash Card","USD","-$50.00","$0.00","-$50.00","","","","FAILED","PZG**REVEL TRANSIT","","Cash Balance"
"2025-02-16 20:10:32 EST","","Cash Card","USD","-$22.75","$0.00","-$22.75","","","","COMPLETE","DD *DOORDASH PANDAEXPR","","Cash Balance"
"2025-02-16 20:08:31 EST","#D-LNDPNJDG","P2P","USD","$55.00","$0.00","$55.00","","","","COMPLETE","$55 Payment From Robert Beacham","Robert Beacham","Cash Balance"
"2025-02-16 16:05:34 EST","","Cash Card","USD","-$51.00","$0.00","-$51.00","","","","FAILED","APPLE CASH BALANCE ADD","","Cash Balance"
"2025-02-16 12:54:27 EST","","Deposits","USD","$200.00","$0.00","$200.00","","","","FAILED","Add Cash","","Visa Debit 2039"
"2025-02-15 20:47:52 EST","","Deposits","USD","$25.00","$0.00","$25.00","","","","FAILED","Add Cash","","Visa Debit 2039"
"2025-02-15 20:46:32 EST","","Deposits","USD","$10.00","$0.00","$10.00","","","","FAILED","Add Cash","","Visa Debit 2039"
"2025-02-15 20:46:23 EST","","Deposits","USD","$50.00","$0.00","$50.00","","","","FAILED","Add Cash","","Visa Debit 2039"
"2025-02-15 20:38:18 EST","","Deposits","USD","$10.00","$0.00","$10.00","","","","FAILED","Add Cash","","Visa Debit 2039"
"2025-02-15 20:37:07 EST","","Cash Card","USD","-$15.90","$0.00","-$15.90","","","","FAILED","DD *DOORDASH YIAYIAS-H","","Cash Balance"
"2025-02-15 19:56:57 EST","","Cash Card","USD","-$23.94","$0.00","-$23.94","","","","FAILED","UBR* PENDING.UBER.COM","","Cash Balance"
"2025-02-15 13:49:31 EST","","Account Notifications","USD","$0.00","","$0.00","","","","COMPLETE","New device login","","Cash Balance"
"2025-02-12 13:40:10 EST","","Cash Card","USD","-$9.98","$0.00","-$9.98","","","","FAILED","AFFIRM.COM PAYMENTS","","Cash Balance"
"2025-02-12 13:40:09 EST","","Cash Card","USD","-$9.98","$0.00","-$9.98","","","","FAILED","AFFIRM.COM PAYMENTS","","Cash Balance"
"2025-02-12 07:57:11 EST","","Cash Card","USD","-$19.17","$0.00","-$19.17","","","","FAILED","AFFIRM.COM PAYMENTS","","Cash Balance"
"2025-02-09 13:36:22 EST","","Cash Card","USD","-$17.11","$0.00","-$17.11","","","","FAILED","AFFIRM.COM PAYMENTS","","Cash Balance"
"2025-02-09 13:36:21 EST","","Cash Card","USD","-$17.11","$0.00","-$17.11","","","","FAILED","AFFIRM.COM PAYMENTS","","Cash Balance"
"2025-02-09 13:33:57 EST","","Cash Card","USD","-$27.75","$0.00","-$27.75","","","","FAILED","AFFIRM.COM PAYMENTS","","Cash Balance"
"2025-02-09 07:10:39 EST","","Cash Card","USD","-$25.39","$0.00","-$25.39","","","","FAILED","AFFIRM.COM PAYMENTS","","Cash Balance"
"2025-02-09 07:10:37 EST","","Cash Card","USD","-$9.71","$0.00","-$9.71","","","","FAILED","AFFIRM.COM PAYMENTS","","Cash Balance"
"2025-02-09 05:04:18 EST","","Deposits","USD","$200.00","$0.00","$200.00","","","","FAILED","Add Cash","","MasterCard Debit 6493"
"2025-02-04 16:33:21 EST","","Cash Card","USD","-$21.90","$0.00","-$21.90","","","","FAILED","UBR* PENDING.UBER.COM","","Cash Balance"
"2025-02-04 13:37:02 EST","","Cash Card","USD","-$27.05","$0.00","-$27.05","","","","FAILED","AFFIRM.COM PAYMENTS","","Cash Balance"
"2025-01-29 00:13:31 EST","","Cash Card","USD","-$9.52","$0.00","-$9.52","","","","FAILED","PAYPAL *SEGPAY.COM","","Cash Balance"
"2025-01-29 00:13:27 EST","","Cash Card","USD","-$19.85","$0.00","-$19.85","","","","FAILED","PAYPAL *SEGPAY.COM","","Cash Balance"
"2025-01-25 17:00:18 EST","","Cash Card","USD","-$10.88","$0.00","-$10.88","","","","FAILED","PP*APPLE.COM/BILL","","Cash Balance"
"2025-01-25 17:00:17 EST","","Cash Card","USD","-$10.50","$0.00","-$10.50","","","","FAILED","PP*APPLE.COM/BILL","","Cash Balance"
"2025-01-24 05:41:10 EST","p9wvqzztf","P2P","USD","-$700.00","$0.00","-$700.00","","","","FAILED","due date Jan 16th","Anthony Difelice","Cash Balance"
"2025-01-21 22:46:04 EST","","Withdrawal","USD","-$7.89","$0.00","-$7.89","","","","COMPLETE","Cash Out","","MasterCard Debit 6493"
"2025-01-21 22:05:09 EST","","Cash Card","USD","-$16.11","$0.00","-$16.11","","","","COMPLETE","Speedway","","Cash Balance"
"2025-01-21 17:51:53 EST","","Deposits","USD","$18.00","$0.00","$18.00","","","","COMPLETE","Add Cash","","MasterCard Debit 6493"
